index,title,author,author_sex,author_nationality,publisher,publisher_country,month_year,day ,pages,ranks,best_seller_rank,general_subject,specific_subject,price,link
0,The New American Revolution: The Making of a Populist Movement,Kayleigh McEnany ,Female,American,Threshold Editions,USA,19-Oct,1,336,378,169.159,History ,Populism,13.18,https://www.amazon.co.uk/New-American-Revolution-Populist-Movement/dp/1501179691/ref=sr_1_1?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-1&unfiltered=1
1,The Finance Curse: How global finance is making us all poorer,Nicholas Shaxson ,Male,British,Vintage,UK,19-Oct,17,384,49,112.227,Finance,Poor vs Rich,7.99,https://www.amazon.co.uk/Finance-Curse-global-finance-making/dp/1784705047/ref=sr_1_2?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-2&unfiltered=1
2,In Light of Yesterday: The Backstory of the Global Economy ,Brady Raanes,Male,American,Brady Raanes,USA,19-Oct,21,224,44,79.231,History ,Economy ,7.56,https://www.amazon.co.uk/Light-Yesterday-Backstory-Global-Economy/dp/1733230521/ref=sr_1_3?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-3&unfiltered=1
3,Just a Girl: Growing Up Female and Ambitious ,Lucinda Jackson,Female,American,She Writes Press,USA,19-Oct,8,280,18,"5,142,822",Sociology,Women,9.99,https://www.amazon.co.uk/Just-Girl-Growing-Female-Ambitious/dp/1631526626/ref=sr_1_4?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-4&unfiltered=1
4,Socialism: An Economic and Sociological Analysis ,Ludwig Von Mises,Male,Austrian,Must Have Books ,,19-Oct,23,602,149,"2,478,962",Economy ,Socialism,18.81,https://www.amazon.co.uk/Socialism-Sociological-Ludwig-Von-Mises/dp/1773236148/ref=sr_1_5?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-5&unfiltered=1
5,Daylight Robbery: How Tax Shaped Our Past and Will Change Our Future,Dominic Frisby ,Male,British,Portfolio Penguin,UK,19-Oct,17,288,91,315.805,Finance,Taxes,14.99,https://www.amazon.co.uk/Daylight-Robbery-Shaped-Change-Future/dp/0241360838/ref=sr_1_6?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-6&unfiltered=1
6,"Fins: Harley Earl, the Rise of General Motors, and the Glory Days of Detroit",William Knoedelseder ,Male,American,Harper Business,USA,19-Oct,17,336,91,806.195,History ,Transports,12.99,https://www.amazon.co.uk/Fins-Harley-General-Motors-Detroit/dp/006228908X/ref=sr_1_7?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-7&unfiltered=1
7,The Servile State ,Hilaire Belloc ,Male,French,Independently Published,,19-Oct,8,82,76,,History ,Economy ,4.61,https://www.amazon.co.uk/Servile-State-Hilaire-Belloc/dp/1698483635/ref=sr_1_8?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-8&unfiltered=1
8,Radical Markets: Uprooting Capitalism and Democracy for a Just Society,Eric A. Posner ,Male,American,Princeton University Press,USA,19-Oct,8,384,60,247.494,Economy ,Politics,12.99,https://www.amazon.co.uk/Radical-Markets-Uprooting-Capitalism-Democracy/dp/0691196060/ref=sr_1_9?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-9&unfiltered=1
9,Planting Light Bulbs: 20+ Ways to Cultivate Success in the Digital Age,Neil Gray,Male,British,Agora Cubed ,UK,19-Oct,8,212,12,436.092,Economy ,Development,113.37,https://www.amazon.co.uk/Planting-Light-Bulbs-Cultivate-Success/dp/1916236405/ref=sr_1_10?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-10&unfiltered=1
